Auction Id Maybe,Title,Price,Sold Date,Specs Array,Specs,Hours,Condition,Auction Event Details,Auction Type,Auction House Link,Auction House Name,Year
42338, NA 500 Gallon,"$1,600",08/20/2022,FUEL TANK W/ PUMP,FUEL TANK W/ PUMP,,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, New Holland 56,"$1,250",08/20/2022,,,,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, NA 1500 Gallon,$950,08/20/2022,Poly tank,Poly tank,,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, NA 3000 Gallon,$500,08/20/2022,Poly tank,Poly tank,,Fair,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, John Deere 1350-1450,$150,08/20/2022,5 btm,5 btm,,Fair,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338,2009 Case IH Magnum 305,"$189,000",08/20/2022,"MFWD,ONLY 1831 HOURS,FULL CAB AIR/HEAT,4 HYD REMOTES,TRIPLE PTO,QUICK HITCK,520-85-R46 @ 85%,HUB DUALS,480-70R-34 FRONT TIRES,FRONT FENDERS,10 FRONT WEIGHTS,#Z8R706245,VERY NICE PRE EMISSIONS TRACTOR","MFWD, ONLY 1831 HOURS, FULL CAB AIR/HEAT, 4 HYD REMOTES, TRIPLE PTO, QUICK HITCK, 520-85-R46 @ 85%, HUB DUALS, 480-70R-34 FRONT TIRES, FRONT FENDERS, 10 FRONT WEIGHTS, #Z8R706245, VERY NICE PRE EMISSIONS TRACTOR",1831,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,2009
42338,2014 Kinze 3600,"$112,500",08/20/2022,"ASD,BULK FILL,12X24,SCALES,NO TILL,CAST CLOSING WHEELS,AG LEADER INSIGHT MONITOR,BEAN METERS ONLY","ASD, BULK FILL, 12X24, SCALES, NO TILL, CAST CLOSING WHEELS, AG LEADER INSIGHT MONITOR, BEAN METERS ONLY",,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,2014
42338, Landoll 7431-26,"$46,000",08/20/2022,"7431 VT ROCK FLEX DISC,26',21 3/4"" BLADES,LOW USE,REAR HITCH/HYD","7431 VT ROCK FLEX DISC, 26', 21 3/4"" BLADES, LOW USE, REAR HITCH/HYD",,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, Case IH 2500,"$14,500",08/20/2022,"5 SHANK,3PT.,RIPPER,LIGHT KIT,VERY NICE,LIKE NEW","5 SHANK, 3PT., RIPPER, LIGHT KIT, VERY NICE, LIKE NEW",,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, Landoll 600,"$1,550",08/20/2022,9 shank V plow,9 shank V plow,,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, NA 120 Gallon,$550,08/20/2022,PICKUP FUEL TANK W/ ELECTRIC PUMP,PICKUP FUEL TANK W/ ELECTRIC PUMP,,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, NA 3000 Gallon,$500,08/20/2022,Poly tank,Poly tank,,Fair,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42339,1979 John Deere 4440,"$40,000",08/20/2022,"sound guard,cab w/ heat & air,power shift,weight bracket w/ full set of weights,20.8 R 38 Rubber. 3pt.,dual hyd.,restored to like new condition","sound guard, cab w/ heat & air, power shift, weight bracket w/ full set of weights, 20.8 R 38 Rubber. 3pt., dual hyd., restored to like new condition",,Excellent,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,1979
42339,1971 John Deere 4320,"$34,000",08/20/2022,"Synchro,side console,dual hyd. 18.4-38 rubber,Restored","Synchro, side console, dual hyd. 18.4-38 rubber, Restored",,Excellent,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,1971
42339,1970 John Deere 4020,"$30,000",08/20/2022,"Diesel,power shift,side console,18.4-34 rubber,front weights,dual hyd. restored","Diesel, power shift, side console, 18.4-34 rubber, front weights, dual hyd. restored",,Excellent,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,1970
42339,1962 John Deere 4010,"$18,500",08/20/2022,"Diesel,narrow front,synchro range,front weights,restored","Diesel, narrow front, synchro range, front weights, restored",,Excellent,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,1962
42339, John Deere 730,"$17,000",08/20/2022,"Diesel,w/ weights,good rubber,restored","Diesel, w/ weights, good rubber, restored",,Excellent,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42339, John Deere 720,"$12,250",08/20/2022,"Diesel,Electric start,front weights,3pt. 6.9-38 rear rubber,restored","Diesel, Electric start, front weights, 3pt. 6.9-38 rear rubber, restored",,Excellent,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42339, John Deere 830,"$10,000",08/20/2022,"3 Cylinder,diesel,restored","3 Cylinder, diesel, restored",,Good,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42339, John Deere 2040,"$9,500",08/20/2022,"Diesel,w/ ROPS,front & rear weights","Diesel, w/ ROPS, front & rear weights",,Good,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42339, John Deere 630,"$7,900",08/20/2022,"Gas,front & rear weights,good rubber","Gas, front & rear weights, good rubber",,Excellent,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42339, Allis Chalmers D10,"$6,900",08/20/2022,,,,Excellent,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42339, John Deere 430,"$6,600",08/20/2022,"Standard,gas,restored","Standard, gas, restored",,Excellent,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42339, John Deere 1010,"$6,400",08/20/2022,"1010 Special,gas,restored","1010 Special, gas, restored",,Excellent,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42339, John Deere 530,"$5,700",08/20/2022,"Gas,power steering","Gas, power steering",,Good,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42339, Farmall Super M-TA,"$4,500",08/20/2022,Gas,Gas,,Good,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42339, John Deere A,"$1,300",08/20/2022,,,,Fair,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42339, John Deere 640,"$1,050",08/20/2022,,,,Fair,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42339, John Deere 112,"$1,000",08/20/2022,,,,Good,"Newville, PA 17241",Farm,https://www.machinerypete.com//auction_companies/jones-martin-auctions-llc,Jones & Martin Auctions LLC,unknown
42338, Black Machine Planter,"$10,000",08/20/2022,"BLACK MACHINE PLANTER,12R-30 OR 13X15,SPLITTER PLANTER,BEAN METERS,PRECITION CORN METERS,ROW CLEANERS,ROW SHUT OFF,KM 3000 MONITOR","BLACK MACHINE PLANTER, 12R-30 OR 13X15, SPLITTER PLANTER, BEAN METERS, PRECITION CORN METERS, ROW CLEANERS, ROW SHUT OFF, KM 3000 MONITOR",,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338,2009 Case IH Magnum 305,"$189,000",08/20/2022,"MFWD,ONLY 1831 HOURS,FULL CAB AIR/HEAT,4 HYD REMOTES,TRIPLE PTO,QUICK HITCK,520-85-R46 @ 85%,HUB DUALS,480-70R-34 FRONT TIRES,FRONT FENDERS,10 FRONT WEIGHTS,#Z8R706245,VERY NICE PRE EMISSIONS TRACTOR","MFWD, ONLY 1831 HOURS, FULL CAB AIR/HEAT, 4 HYD REMOTES, TRIPLE PTO, QUICK HITCK, 520-85-R46 @ 85%, HUB DUALS, 480-70R-34 FRONT TIRES, FRONT FENDERS, 10 FRONT WEIGHTS, #Z8R706245, VERY NICE PRE EMISSIONS TRACTOR",1831,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,2009
42338,2002 Mack CH613,"$50,000",08/20/2022,"SEMI TRACTOR,DAY CAB,488K MILES,AUTO SHIFT TRANSMISSION,355-380 HP ENGINE,11R-22.5 TIRES,ALUMINUM TIRES,NICE TRUCK","SEMI TRACTOR, DAY CAB, 488K MILES, AUTO SHIFT TRANSMISSION, 355-380 HP ENGINE, 11R-22.5 TIRES, ALUMINUM TIRES, NICE TRUCK",,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,2002
42338, NA 120 Gallon,$550,08/20/2022,PICKUP FUEL TANK W/ ELECTRIC PUMP,PICKUP FUEL TANK W/ ELECTRIC PUMP,,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, Woods 214,"$2,000",08/20/2022,"FIELD CHOPPER,540 PTO","FIELD CHOPPER, 540 PTO",,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, Landoll 600,"$1,550",08/20/2022,9 shank V plow,9 shank V plow,,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42336, Case 1845C,"$29,250",08/19/2022,"SN: JAF0250203,1144 Original Hours,Manual Quick attach,Aux Hydraulics,79"" Bucket,305/70D16.5 Tires","SN: JAF0250203, 1144 Original Hours, Manual Quick attach, Aux Hydraulics, 79"" Bucket, 305/70D16.5 Tires",1144,Excellent,"Wabash, IN 46992",Consignment,https://www.machinerypete.com//auction_companies/mckillip-machinery,McKillip Machinery,unknown
42188, Danuser Post Hole Auger,$850,08/18/2022,"3pt. post hole digger,10"" bit","3pt. post hole digger, 10"" bit",,Good,"Prescott, IA 50859",Online,https://www.machinerypete.com//auction_companies/sullivan-auctioneers,Sullivan Auctioneers,unknown
42324, Case 75XT,"$24,500",08/18/2022,"skid steer loader,hand controls,aux. hyd.,12-16.5 tires,2,374 hrs.","skid steer loader, hand controls, aux. hyd., 12-16.5 tires, 2,374 hrs.",2374,Good,"Freeport, MN 56331",Farm,https://www.machinerypete.com//auction_companies/steffes-group-inc,"Steffes Group, Inc.",unknown
42324, John Deere 714,"$13,500",08/18/2022,"disc chisel,9-shank,front lead cushion disc gang,hyd. adjust,single point depth,light kit,4in. reversible twists,walking tandems,11L-15 tires","disc chisel, 9-shank, front lead cushion disc gang, hyd. adjust, single point depth, light kit, 4in. reversible twists, walking tandems, 11L-15 tires",,Good,"Freeport, MN 56331",Farm,https://www.machinerypete.com//auction_companies/steffes-group-inc,"Steffes Group, Inc.",unknown
42324, John Deere 3710,"$10,000",08/18/2022,"pull type plow,7-bottom,coulters,auto reset,light kit","pull type plow, 7-bottom, coulters, auto reset, light kit",,Excellent,"Freeport, MN 56331",Farm,https://www.machinerypete.com//auction_companies/steffes-group-inc,"Steffes Group, Inc.",unknown
42324, John Deere 2210,"$27,000",08/18/2022,"field cultivator,26 ft.,wing fold,single point depth,walking tandems across,4-bar harrow,NEW knock-on sweeps,light kit,11L15 tires","field cultivator, 26 ft., wing fold, single point depth, walking tandems across, 4-bar harrow, NEW knock-on sweeps, light kit, 11L15 tires",,Excellent,"Freeport, MN 56331",Farm,https://www.machinerypete.com//auction_companies/steffes-group-inc,"Steffes Group, Inc.",unknown
42188, Parker 2500,"$2,100",08/18/2022,gravity wagon on Parker running gear,gravity wagon on Parker running gear,,Good,"Prescott, IA 50859",Online,https://www.machinerypete.com//auction_companies/sullivan-auctioneers,Sullivan Auctioneers,unknown
42324,2008 John Deere 9570 STS,"$150,000",08/18/2022,"PRWD,STS bullet rotor,chopper,maurer hopper topper,900/65R32 front tires,600/65R28 rear tires,1,177 sep. hrs.,1,835 eng. hrs.","PRWD, STS bullet rotor, chopper, maurer hopper topper, 900/65R32 front tires, 600/65R28 rear tires, 1,177 sep. hrs., 1,835 eng. hrs.",1835,Excellent,"Freeport, MN 56331",Farm,https://www.machinerypete.com//auction_companies/steffes-group-inc,"Steffes Group, Inc.",2008
42324,2016 John Deere 625F,"$32,000",08/18/2022,"flex head,25ft.,AWS-2000 wind bar","flex head, 25ft., AWS-2000 wind bar",,Good,"Freeport, MN 56331",Farm,https://www.machinerypete.com//auction_companies/steffes-group-inc,"Steffes Group, Inc.",2016
42324, Unverferth 30',"$4,000",08/18/2022,"header trailer,30 ft.,low pro","header trailer, 30 ft., low pro",,Good,"Freeport, MN 56331",Farm,https://www.machinerypete.com//auction_companies/steffes-group-inc,"Steffes Group, Inc.",unknown
42324, J&M 680/760,"$15,000",08/18/2022,"gravity box,side dump,light kit,site glass,front & rear brakes,385/65R22.5 tires","gravity box, side dump, light kit, site glass, front & rear brakes, 385/65R22.5 tires",,Good,"Freeport, MN 56331",Farm,https://www.machinerypete.com//auction_companies/steffes-group-inc,"Steffes Group, Inc.",unknown
42324,2006 John Deere 1750,"$26,000",08/18/2022,"planter,6 row,30 inch.,MaxEmerge XP units,corn/bean plates,markers,screw adjust row cleaners,liquid fertilizer,in-furrow liquid fertilizer placement","planter, 6 row, 30 inch., MaxEmerge XP units, corn/bean plates, markers, screw adjust row cleaners, liquid fertilizer, in-furrow liquid fertilizer placement",,Excellent,"Freeport, MN 56331",Farm,https://www.machinerypete.com//auction_companies/steffes-group-inc,"Steffes Group, Inc.",2006
42188,2012 John Deere 714,"$13,000",08/18/2022,"11-shank disc-chisel,spring reset shanks,hyd. adjust gangs,single-point depth control,lights,SN 1P00714XVCD009088 - one owner","11-shank disc-chisel, spring reset shanks, hyd. adjust gangs, single-point depth control, lights, SN 1P00714XVCD009088 - one owner",,Good,"Prescott, IA 50859",Online,https://www.machinerypete.com//auction_companies/sullivan-auctioneers,Sullivan Auctioneers,2012
42188, Massey Ferguson 820,"$2,000",08/18/2022," 20’ disk,9” spacing,22” blades,tandem mainframe tires,SN 902210"," 20’ disk, 9” spacing, 22” blades, tandem mainframe tires, SN 902210",,Good,"Prescott, IA 50859",Online,https://www.machinerypete.com//auction_companies/sullivan-auctioneers,Sullivan Auctioneers,unknown
42188, John Deere 717,"$1,900",08/18/2022,"7’ 3-pt. rotary mower,540 PTO,SN H00717X002086","7’ 3-pt. rotary mower, 540 PTO, SN H00717X002086",,Good,"Prescott, IA 50859",Online,https://www.machinerypete.com//auction_companies/sullivan-auctioneers,Sullivan Auctioneers,unknown
42188, International Blade,$325,08/18/2022,"IHC 40,8’ 3-pt. blade,SN 1009","IHC 40, 8’ 3-pt. blade, SN 1009",,Good,"Prescott, IA 50859",Online,https://www.machinerypete.com//auction_companies/sullivan-auctioneers,Sullivan Auctioneers,unknown
42188,2009 Wilson DWH-500,"$33,000",08/18/2022,"41’ hopper bottom trailer,ag hopper,power tarp,air ride,24.5” all aluminum wheels,VIN 1W1MAF1A09A252689","41’ hopper bottom trailer, ag hopper, power tarp, air ride, 24.5” all aluminum wheels, VIN 1W1MAF1A09A252689",,Excellent,"Prescott, IA 50859",Online,https://www.machinerypete.com//auction_companies/sullivan-auctioneers,Sullivan Auctioneers,2009
42188,2019 Chevrolet 1500,"$41,500",08/18/2022," LTZ 4WD pickup,5.3L gas eng.,auto trans.,crew cab,heated & cooled leather seats,20” wheels,49,036 miles,VIN 3GCUYGED4KG117710,White"," LTZ 4WD pickup, 5.3L gas eng., auto trans., crew cab, heated & cooled leather seats, 20” wheels, 49,036 miles, VIN 3GCUYGED4KG117710, White",,Excellent,"Prescott, IA 50859",Online,https://www.machinerypete.com//auction_companies/sullivan-auctioneers,Sullivan Auctioneers,2019
42188,2009 John Deere 8330,"$213,000",08/18/2022,"MFWD,PS trans.,5 hyd. outlets,60 gpm hyd. pump,540/1000 PTO capable,480/80R50 rear tires w/duals,420/85R34 front tires,Firestone tires,front & rear weights,front fenders,1300 front axle,HID lights,deluxe cab,AutoTrac ready,2,301 hours,SN RW8330P046858","MFWD, PS trans., 5 hyd. outlets, 60 gpm hyd. pump, 540/1000 PTO capable, 480/80R50 rear tires w/duals, 420/85R34 front tires, Firestone tires, front & rear weights, front fenders, 1300 front axle, HID lights, deluxe cab, AutoTrac ready, 2,301 hours, SN RW8330P046858",2301,Excellent,"Prescott, IA 50859",Online,https://www.machinerypete.com//auction_companies/sullivan-auctioneers,Sullivan Auctioneers,2009
